gene_id,symbol,all_symbols,source_group,go_ids,go_names
64710,NUCKS1,NUCKS1,GO10,GO:0000724;GO:0006281;GO:0006974;GO:0036297,DNA damage response;DNA repair;double-strand break repair via homologous recombination;interstrand cross-link repair
64782,AEN,AEN,GO10,GO:0006974;GO:0031965;GO:0042771,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;nuclear membrane
64783,RBM15,RBM15,GO10,GO:0005635;GO:0031965,nuclear envelope;nuclear membrane
64785,GINS3,GINS3,GO10,GO:0000811;GO:0071162,CMG complex;GINS complex
64789,EXO5,EXO5,GO10,GO:0006281;GO:0006974;GO:0036297,DNA damage response;DNA repair;interstrand cross-link repair
64858,DCLRE1B,DCLRE1B,GO10,GO:0006281;GO:0006303;GO:0006974;GO:0031848;GO:0036297,DNA damage response;DNA repair;double-strand break repair via nonhomologous end joining;interstrand cross-link repair;protection from non-homologous end joining at telomere
64859,NABP1,NABP1,GO10,GO:0000724;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination
64901,RANBP17,RANBP17,GO10,GO:0005643,nuclear pore
6500,SKP1,SKP1,GO10,GO:0051457,maintenance of protein location in nucleus
65057,ACD,ACD,GO10,GO:0031848,protection from non-homologous end joining at telomere
65083,NOL6,NOL6,GO10,GO:0000794,condensed nuclear chromosome
65123,INTS3,INTS3,GO10,GO:0000724;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination
65125,WNK1,WNK1,GO10,GO:0006974,DNA damage response
65267,WNK3,WNK3,GO10,GO:0006974,DNA damage response
65268,WNK2,WNK2,GO10,GO:0006974,DNA damage response
653489,RGPD3,RGPD3,GO10,GO:0005643,nuclear pore
6581,SLC22A3,SLC22A3,GO10,GO:0005640;GO:0031965,nuclear membrane;nuclear outer membrane
6596,HLTF,HLTF,GO10,GO:0006281;GO:0006974;GO:0043596,DNA damage response;DNA repair;nuclear replication fork
65975,STK33,STK33,GO10,GO:0044773,mitotic DNA damage checkpoint signaling
6598,SMARCB1,SMARCB1,GO10,GO:0000228,nuclear chromosome
65980,BRD9,BRD9,GO10,GO:0000724,double-strand break repair via homologous recombination
6605,SMARCE1,SMARCE1,GO10,GO:0000228,nuclear chromosome
662,BNIP1,BNIP1,GO10,GO:0005635,nuclear envelope
6622,SNCA,SNCA,GO10,GO:0005640,nuclear outer membrane
663,BNIP2,BNIP2,GO10,GO:0005635,nuclear envelope
664,BNIP3,BNIP3,GO10,GO:0005635,nuclear envelope
6648,SOD2,SOD2,GO10,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
665,BNIP3L,BNIP3L,GO10,GO:0005635,nuclear envelope
6653,SORL1,SORL1,GO10,GO:0005641,nuclear envelope lumen
666,BOK,BOK,GO10,GO:0005640;GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage;nuclear outer membrane
667,DST,DST,GO10,GO:0005635,nuclear envelope
6672,SP100,SP100,GO10,GO:0030330;GO:0046826,"DNA damage response, signal transduction by p53 class mediator;negative regulation of protein export from nucleus"
6676,SPAG4,SPAG4,GO10,GO:0005635;GO:0005637;GO:0034993,meiotic nuclear membrane microtubule tethering complex;nuclear envelope;nuclear inner membrane
6683,SPAST,SPAST,GO10,GO:0031965,nuclear membrane
672,BRCA1,BRCA1,GO10,GO:0000724;GO:0000794;GO:0000800;GO:0006281;GO:0006301;GO:0006302;GO:0006974;GO:0007095;GO:0008630,condensed nuclear chromosome;DNA damage response;DNA damage tolerance;DNA repair;double-strand break repair;double-strand break repair via homologous recombination;intrinsic apoptotic signaling pathway in response to DNA damage;lateral element;mitotic G2 DNA damage checkpoint signaling
6720,SREBF1,SREBF1,GO10,GO:0005635,nuclear envelope
6749,SSRP1,SSRP1,GO10,GO:0006281;GO:0006974,DNA damage response;DNA repair
675,BRCA2,BRCA2,GO10,GO:0000724;GO:0000800;GO:0006281;GO:0006289;GO:0006302;GO:0006974;GO:0008630;GO:0030330;GO:0042771,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;DNA repair;double-strand break repair;double-strand break repair via homologous recombination;intrinsic apoptotic signaling pathway in response to DNA damage;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;lateral element;nucleotide-excision repair"
6787,NEK4,NEK4,GO10,GO:0006974,DNA damage response
6794,STK11,STK11,GO10,GO:0006974,DNA damage response
6804,STX1A,STX1A,GO10,GO:0031965,nuclear membrane
6839,SUV39H1,SUV39H1,GO10,GO:0000794;GO:0005652;GO:0006974,condensed nuclear chromosome;DNA damage response;nuclear lamina
6847,SYCP1,SYCP1,GO10,GO:0000711;GO:0000794;GO:0000795;GO:0000801;GO:0000802,central element;condensed nuclear chromosome;meiotic DNA repair synthesis;synaptonemal complex;transverse filament
6853,SYN1,SYN1,GO10,GO:0000795,synaptonemal complex
6872,TAF1,TAF1,GO10,GO:0006974,DNA damage response
6880,TAF9,TAF9,GO10,GO:0006974,DNA damage response
6885,MAP3K7,MAP3K7,GO10,GO:0042770,signal transduction in response to DNA damage
6944,VPS72,VPS72,GO10,GO:0000812,Swr1 complex
6996,TDG,TDG,GO10,GO:0006281;GO:0006284;GO:0006285;GO:0006974;GO:0045008,"base-excision repair;base-excision repair, AP site formation;depyrimidination;DNA damage response;DNA repair"
7014,TERF2,TERF2,GO10,GO:0031848,protection from non-homologous end joining at telomere
7023,TFAP4,TFAP4,GO10,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
708,C1QBP,C1QBP,GO10,GO:0006974,DNA damage response
7108,TM7SF2,TM7SF2,GO10,GO:0005637,nuclear inner membrane
7112,TMPO,TMPO,GO10,GO:0005635;GO:0005637;GO:0031965,nuclear envelope;nuclear inner membrane;nuclear membrane
7124,TNF,TNF,GO10,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
7132,TNFRSF1A,TNFRSF1A,GO10,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
7133,TNFRSF1B,TNFRSF1B,GO10,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
7141,TNP1,TNP1,GO10,GO:0000012,single strand break repair
7150,TOP1,TOP1,GO10,GO:0000228,nuclear chromosome
7153,TOP2A,TOP2A,GO10,GO:0000228;GO:0006974,DNA damage response;nuclear chromosome
7156,TOP3A,TOP3A,GO10,GO:0000724;GO:0006281,DNA repair;double-strand break repair via homologous recombination
7157,TP53,TP53,GO10,GO:0006289;GO:0006974;GO:0030330;GO:0031571;GO:0042771,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;mitotic G1 DNA damage checkpoint signaling;nucleotide-excision repair"
7158,TP53BP1,TP53BP1,GO10,GO:0000077;GO:0006281;GO:0006303;GO:0006974;GO:0097680,DNA damage checkpoint signaling;DNA damage response;DNA repair;double-strand break repair via classical nonhomologous end joining;double-strand break repair via nonhomologous end joining
7161,TP73,TP73,GO10,GO:0006298;GO:0006974;GO:0008630;GO:0042771,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;mismatch repair
7175,TPR,TPR,GO10,GO:0005635;GO:0005643;GO:0017056;GO:0031965;GO:0044615,nuclear envelope;nuclear membrane;nuclear pore;nuclear pore nuclear basket;structural constituent of nuclear pore
7186,TRAF2,TRAF2,GO10,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
7188,TRAF5,TRAF5,GO10,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
7189,TRAF6,TRAF6,GO10,GO:0006974,DNA damage response
7273,TTN,TTN,GO10,GO:0000794,condensed nuclear chromosome
727851,RGPD8,RGPD8,GO10,GO:0005643,nuclear pore
7283,TUBG1,TUBG1,GO10,GO:0000794,condensed nuclear chromosome
728340,GTF2H2C,GTF2H2C,GO10,GO:0006281;GO:0006289;GO:0006974,DNA damage response;DNA repair;nucleotide-excision repair
729857,RGPD2,RGPD2,GO10,GO:0005643,nuclear pore
7301,TYRO3,TYRO3,GO10,GO:0005635,nuclear envelope
7317,UBA1,UBA1,GO10,GO:0006974,DNA damage response
7318,UBA7,UBA7,GO10,GO:0006974,DNA damage response
7319,UBE2A,UBE2A,GO10,GO:0006281;GO:0006301;GO:0006974,DNA damage response;DNA damage tolerance;DNA repair
7320,UBE2B,UBE2B,GO10,GO:0006281;GO:0006301;GO:0006974,DNA damage response;DNA damage tolerance;DNA repair
7323,UBE2D3,UBE2D3,GO10,GO:0006281;GO:0006974,DNA damage response;DNA repair
7325,UBE2E2,UBE2E2,GO10,GO:0006974,DNA damage response
7329,UBE2I,UBE2I,GO10,GO:0000795;GO:0005635;GO:0005643,nuclear envelope;nuclear pore;synaptonemal complex
7334,UBE2N,UBE2N,GO10,GO:0000724;GO:0000729;GO:0006281;GO:0006301;GO:0006974,DNA damage response;DNA damage tolerance;DNA double-strand break processing;DNA repair;double-strand break repair via homologous recombination
