gene_id,symbol,all_symbols,go_ids,go_names
1029,CDKN2A,CDKN2A,GO:0005654;GO:0005730,nucleolus;nucleoplasm
10291,SF3A1,SF3A1,GO:0005654;GO:0005681;GO:0005684;GO:0005686;GO:0016607;GO:0071004;GO:0071005;GO:0071006;GO:0071011;GO:0071013,catalytic step 2 spliceosome;nuclear speck;nucleoplasm;precatalytic spliceosome;spliceosomal complex;U2 snRNP;U2-type catalytic step 1 spliceosome;U2-type precatalytic spliceosome;U2-type prespliceosome;U2-type spliceosomal complex
10293,TRAIP,TRAIP,GO:0005654;GO:0005730;GO:0006281;GO:0006974;GO:0106300,DNA damage response;DNA repair;nucleolus;nucleoplasm;protein-DNA covalent cross-linking repair
10296,MAEA,MAEA,GO:0005654;GO:0016363,nuclear matrix;nucleoplasm
103,ADAR,ADAR,GO:0005654;GO:0005730;GO:0031981;GO:0044530,nuclear lumen;nucleolus;nucleoplasm;supraspliceosomal complex
1030,CDKN2B,CDKN2B,GO:0005654,nucleoplasm
10302,SNAPC5,SNAPC5,GO:0005654,nucleoplasm
10307,APBB3,APBB3,GO:0016604,nuclear body
10309,CCNO,CCNO,GO:0005730,nucleolus
10318,TNIP1,TNIP1,GO:0005654,nucleoplasm
1032,CDKN2D,CDKN2D,GO:0000731;GO:0005654,DNA synthesis involved in DNA repair;nucleoplasm
10320,IKZF1,IKZF1,GO:0005654,nucleoplasm
10336,PCGF3,PCGF3,GO:0005654;GO:0031519;GO:0035102,nucleoplasm;PcG protein complex;PRC1 complex
10346,TRIM22,TRIM22,GO:0005654;GO:0015030;GO:0016604;GO:0016607,Cajal body;nuclear body;nuclear speck;nucleoplasm
10360,NPM3,NPM3,GO:0005654;GO:0005730,nucleolus;nucleoplasm
10361,NPM2,NPM2,GO:0005654;GO:0005730,nucleolus;nucleoplasm
10362,HMG20B,HMG20B,GO:0005654,nucleoplasm
10370,CITED2,CITED2,GO:0005654,nucleoplasm
10379,IRF9,IRF9,GO:0005654;GO:0070721,ISGF3 complex;nucleoplasm
10388,SYCP2,SYCP2,GO:0000794;GO:0000795;GO:0000800,condensed nuclear chromosome;lateral element;synaptonemal complex
10389,SCML2,SCML2,GO:0031519,PcG protein complex
10390,CEPT1,CEPT1,GO:0031965,nuclear membrane
10393,ANAPC10,ANAPC10,GO:0005654;GO:0005680,anaphase-promoting complex;nucleoplasm
10397,NDRG1,NDRG1,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
10399,RACK1,RACK1,GO:0005654,nucleoplasm
104,ADARB1,ADARB1,GO:0005654;GO:0005730,nucleolus;nucleoplasm
10401,PIAS3,PIAS3,GO:0005654;GO:0016607,nuclear speck;nucleoplasm
10403,NDC80,NDC80,GO:0005654;GO:0016607,nuclear speck;nucleoplasm
10409,BASP1,BASP1,GO:0008180;GO:0016363;GO:0016605;GO:0016607,COP9 signalosome;nuclear matrix;nuclear speck;PML body
10412,NSA2,NSA2,GO:0005654;GO:0005730,nucleolus;nucleoplasm
10413,YAP1,YAP1,GO:0005654;GO:0005730;GO:0006974;GO:0140552,DNA damage response;nucleolus;nucleoplasm;TEAD-YAP complex
10419,PRMT5,PRMT5,GO:0005654;GO:0035097,histone methyltransferase complex;nucleoplasm
10420,TESK2,TESK2,GO:0005654,nucleoplasm
10421,CD2BP2,CD2BP2,GO:0005654;GO:0005681;GO:0005682;GO:0016607;GO:0046540,nuclear speck;nucleoplasm;spliceosomal complex;U4/U6 x U5 tri-snRNP complex;U5 snRNP
10424,PGRMC2,PGRMC2,GO:0005635;GO:0005654,nuclear envelope;nucleoplasm
10425,ARIH2,ARIH2,GO:0005654,nucleoplasm
10428,CFDP1,CFDP1,GO:0000812,Swr1 complex
10430,TMEM147,TMEM147,GO:0031965,nuclear membrane
10432,RBM14,RBM14,GO:0005654;GO:0005730;GO:0016607,nuclear speck;nucleolus;nucleoplasm
10434,LYPLA1,LYPLA1,GO:0031965,nuclear membrane
10436,EMG1,EMG1,GO:0005654;GO:0005730;GO:0032040,nucleolus;nucleoplasm;small-subunit processome
10438,C1D,C1D,GO:0000176;GO:0005654;GO:0005730,nuclear exosome (RNase complex);nucleolus;nucleoplasm
10445,MCRS1,MCRS1,GO:0005654;GO:0005730;GO:0006281;GO:0006974;GO:0031011;GO:0071339,DNA damage response;DNA repair;Ino80 complex;MLL1 complex;nucleolus;nucleoplasm
1045,CDX2,CDX2,GO:0000794,condensed nuclear chromosome
10450,PPIE,PPIE,GO:0005654;GO:0005681;GO:0016607;GO:0071006;GO:0071007;GO:0071013;GO:0071014;GO:0071020,catalytic step 2 spliceosome;nuclear speck;nucleoplasm;post-mRNA release spliceosomal complex;post-spliceosomal complex;spliceosomal complex;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome
10451,VAV3,VAV3,GO:0006974,DNA damage response
10456,HAX1,HAX1,GO:0005635;GO:0031965,nuclear envelope;nuclear membrane
10458,BAIAP2,BAIAP2,GO:0005654,nucleoplasm
10459,MAD2L2,MAD2L2,GO:0005654;GO:0005680;GO:0006281;GO:0006302;GO:0006974;GO:0019985;GO:0042276;GO:0042772;GO:0043247,"anaphase-promoting complex;DNA damage response;DNA damage response, signal transduction resulting in transcription;DNA repair;double-strand break repair;error-prone translesion synthesis;nucleoplasm;telomere maintenance in response to DNA damage;translesion synthesis"
10463,SLC30A9,SLC30A9,GO:0006289,nucleotide-excision repair
10465,PPIH,PPIH,GO:0005654;GO:0005681;GO:0016607;GO:0046540;GO:0071001,nuclear speck;nucleoplasm;spliceosomal complex;U4/U6 snRNP;U4/U6 x U5 tri-snRNP complex
10467,ZNHIT1,ZNHIT1,GO:0000812,Swr1 complex
10468,FST,FST,GO:0005730,nucleolus
1047,CLGN,CLGN,GO:0005635,nuclear envelope
10472,ZBTB18,ZBTB18,GO:0005654;GO:0016607,nuclear speck;nucleoplasm
10474,TADA3,TADA3,GO:0005654;GO:0033276,nucleoplasm;transcription factor TFTC complex
10477,UBE2E3,UBE2E3,GO:0005654,nucleoplasm
10481,HOXB13,HOXB13,GO:0005654,nucleoplasm
10482,NXF1,NXF1,GO:0000346;GO:0005635;GO:0005643;GO:0005654;GO:0016607;GO:0042272,nuclear envelope;nuclear pore;nuclear RNA export factor complex;nuclear speck;nucleoplasm;transcription export complex
10488,CREB3,CREB3,GO:0005654;GO:0090575,nucleoplasm;RNA polymerase II transcription regulator complex
10492,SYNCRIP,SYNCRIP,GO:0005654;GO:0005681;GO:0071013;GO:0071204,catalytic step 2 spliceosome;histone pre-mRNA 3'end processing complex;nucleoplasm;spliceosomal complex
10498,CARM1,CARM1,GO:0005654;GO:0043596,nuclear replication fork;nucleoplasm
10499,NCOA2,NCOA2,GO:0005654;GO:0016604;GO:0090575,nuclear body;nucleoplasm;RNA polymerase II transcription regulator complex
105,ADARB2,ADARB2,GO:0005730,nucleolus
1050,CEBPA,CEBPA,GO:0005654;GO:0005730;GO:0036488;GO:0090575;GO:1990647,C/EBP complex;CHOP-C/EBP complex;nucleolus;nucleoplasm;RNA polymerase II transcription regulator complex
1051,CEBPB,CEBPB,GO:0005654;GO:0016363;GO:0036488;GO:0090575;GO:1990647,C/EBP complex;CHOP-C/EBP complex;nuclear matrix;nucleoplasm;RNA polymerase II transcription regulator complex
10513,APPBP2,APPBP2,GO:0005654,nucleoplasm
10514,MYBBP1A,MYBBP1A,GO:0005654;GO:0005730;GO:0110016,B-WICH complex;nucleolus;nucleoplasm
10519,CIB1,CIB1,GO:0005654;GO:0006302;GO:0006974,DNA damage response;double-strand break repair;nucleoplasm
1052,CEBPD,CEBPD,GO:0005654;GO:0090575,nucleoplasm;RNA polymerase II transcription regulator complex
10521,DDX17,DDX17,GO:0005654;GO:0005730;GO:0016607,nuclear speck;nucleolus;nucleoplasm
10522,DEAF1,DEAF1,GO:0005654;GO:0090575,nucleoplasm;RNA polymerase II transcription regulator complex
10523,CHERP,CHERP,GO:0005654,nucleoplasm
10524,KAT5,KAT5,GO:0000724;GO:0000812;GO:0005654;GO:0005730;GO:0006281;GO:0006289;GO:0006302;GO:0006974;GO:0030330;GO:0031981;GO:0140861,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;DNA repair;DNA repair-dependent chromatin remodeling;double-strand break repair;double-strand break repair via homologous recombination;nuclear lumen;nucleolus;nucleoplasm;nucleotide-excision repair;Swr1 complex"
10526,IPO8,IPO8,GO:0005635;GO:0005654,nuclear envelope;nucleoplasm
10527,IPO7,IPO7,GO:0005635;GO:0005643;GO:0005654,nuclear envelope;nuclear pore;nucleoplasm
10528,NOP56,NOP56,GO:0001650;GO:0005654;GO:0005730;GO:0032040,fibrillar center;nucleolus;nucleoplasm;small-subunit processome
1053,CEBPE,CEBPE,GO:0005654;GO:0090575,nucleoplasm;RNA polymerase II transcription regulator complex
10535,RNASEH2A,RNASEH2A,GO:0005654;GO:0006298,mismatch repair;nucleoplasm
10537,UBD,UBD,GO:0005654,nucleoplasm
105376906,ERVK-19,ERVK-19,GO:0005730,nucleolus
10538,BATF,BATF,GO:0005654;GO:0006974;GO:0030330;GO:0090575,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;nucleoplasm;RNA polymerase II transcription regulator complex"
1054,CEBPG,CEBPG,GO:0005654;GO:0090575,nucleoplasm;RNA polymerase II transcription regulator complex
10541,ANP32B,ANP32B,GO:0005654;GO:0005730,nucleolus;nucleoplasm
10556,RPP30,RPP30,GO:0005654;GO:0005655;GO:0005730,nucleolar ribonuclease P complex;nucleolus;nucleoplasm
10557,RPP38,RPP38,GO:0001650;GO:0005654;GO:0005655;GO:0005730,fibrillar center;nucleolar ribonuclease P complex;nucleolus;nucleoplasm
10562,OLFM4,OLFM4,GO:0005654,nucleoplasm
10565,ARFGEF1,ARFGEF1,GO:0005654;GO:0005730;GO:0016363;GO:0030532,nuclear matrix;nucleolus;nucleoplasm;small nuclear ribonucleoprotein complex
10568,SLC34A2,SLC34A2,GO:0005654,nucleoplasm
10569,SLU7,SLU7,GO:0005654;GO:0005681;GO:0016607;GO:0030532;GO:0071006;GO:0071007;GO:0071013;GO:0071020,catalytic step 2 spliceosome;nuclear speck;nucleoplasm;post-spliceosomal complex;small nuclear ribonucleoprotein complex;spliceosomal complex;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome
10572,SIVA1,SIVA1,GO:0005654,nucleoplasm
10579,TACC2,TACC2,GO:0005654,nucleoplasm
1058,CENPA,CENPA,GO:0005654,nucleoplasm
10580,SORBS1,SORBS1,GO:0016363,nuclear matrix
10586,MAB21L2,MAB21L2,GO:0005654,nucleoplasm
10589,DRAP1,DRAP1,GO:0017054;GO:0090575,negative cofactor 2 complex;RNA polymerase II transcription regulator complex
1059,CENPB,CENPB,GO:0005654;GO:0016604,nuclear body;nucleoplasm
10592,SMC2,SMC2,GO:0000228;GO:0000794;GO:0005654;GO:0005730,condensed nuclear chromosome;nuclear chromosome;nucleolus;nucleoplasm
10594,PRPF8,PRPF8,GO:0005654;GO:0005681;GO:0005682;GO:0016607;GO:0030532;GO:0046540;GO:0071005;GO:0071006;GO:0071007;GO:0071009;GO:0071011;GO:0071013;GO:0071014;GO:0071016;GO:0071018;GO:0071020,catalytic step 2 spliceosome;nuclear speck;nucleoplasm;post-mRNA release spliceosomal complex;post-spliceosomal complex;precatalytic spliceosome;small nuclear ribonucleoprotein complex;spliceosomal complex;U12-type catalytic step 2 spliceosome;U12-type precatalytic spliceosome;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome;U2-type precatalytic spliceosome;U4/U6 x U5 tri-snRNP complex;U4atac/U6atac x U5 tri-snRNP complex;U5 snRNP
10597,TRAPPC2B,TRAPPC2B,GO:0005640,nuclear outer membrane
1060,CENPC,CENPC,GO:0005654;GO:0016604,nuclear body;nucleoplasm
10600,USP16,USP16,GO:0005654;GO:0006974,DNA damage response;nucleoplasm
10607,TBL3,TBL3,GO:0005654;GO:0005730;GO:0032040;GO:0034388,nucleolus;nucleoplasm;Pwp2p-containing subcomplex of 90S preribosome;small-subunit processome
10608,MXD4,MXD4,GO:0005654;GO:0070443;GO:0090571,Mad-Max complex;nucleoplasm;RNA polymerase II transcription repressor complex
10609,P3H4,P3H4,GO:0000794;GO:0000795;GO:0005730,condensed nuclear chromosome;nucleolus;synaptonemal complex
10614,HEXIM1,HEXIM1,GO:0005654;GO:0120259,7SK snRNP;nucleoplasm
10615,SPAG5,SPAG5,GO:0016604,nuclear body
10617,STAMBP,STAMBP,GO:0005654,nucleoplasm
10620,ARID3B,ARID3B,GO:0005654,nucleoplasm
10621,POLR3F,POLR3F,GO:0005654;GO:0005666,nucleoplasm;RNA polymerase III complex
