symbol,go_ids,go_names,evidence_set,eco_set,refs,gene_products,assigned_by,n_annotations
SYCP2,GO:0000794;GO:0000795;GO:0000800,condensed nuclear chromosome;lateral element;synaptonemal complex,IBA;ISS;NAS,ECO:0000250;ECO:0000303;ECO:0000318;ECO:0005547,GO_REF:0000024;GO_REF:0000033;PMID:10341103;PMID:27142324,Q9BX26,ComplexPortal;GO_Central;UniProt,5
SYCP2L,GO:0000800,lateral element,IBA,ECO:0000318,GO_REF:0000033,Q5T4T6,GO_Central,1
SYCP3,GO:0000794;GO:0000795;GO:0000800,condensed nuclear chromosome;lateral element;synaptonemal complex,IBA;IDA;ISS;NAS,ECO:0000250;ECO:0000314;ECO:0000318;ECO:0005547,GO_REF:0000024;GO_REF:0000033;PMID:27142324;PMID:9774970,Q8IZU3,ComplexPortal;GO_Central;MGI;UniProt,5
SYF2,GO:0005681;GO:0071006;GO:0071007;GO:0071013;GO:0071014;GO:0071020,catalytic step 2 spliceosome;post-mRNA release spliceosomal complex;post-spliceosomal complex;spliceosomal complex;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome,IBA;IDA;IPI,ECO:0000314;ECO:0000318;ECO:0000353,GO_REF:0000033;PMID:11991638;PMID:28076346;PMID:30728453;PMID:35705093;PMID:39068178,O95926,ComplexPortal;GO_Central;UniProt,12
SYMPK,GO:0005847;GO:0005849,mRNA cleavage and polyadenylation specificity factor complex;mRNA cleavage factor complex,IBA;IDA;NAS,ECO:0000314;ECO:0000318;ECO:0005547,GO_REF:0000033;PMID:34230059;PMID:35177536,Q92797,ComplexPortal;GO_Central,3
SYNCRIP,GO:0071013;GO:0071204,catalytic step 2 spliceosome;histone pre-mRNA 3'end processing complex,IDA;ISS,ECO:0000250;ECO:0000314,GO_REF:0000024;PMID:11991638,O60506,UniProt,2
SYNE1,GO:0005635;GO:0031965;GO:0034993,meiotic nuclear membrane microtubule tethering complex;nuclear envelope;nuclear membrane,IBA;IDA;IPI,ECO:0000314;ECO:0000318;ECO:0000353,GO_REF:0000033;GO_REF:0000052;PMID:11792814;PMID:18396275;PMID:22632968;PMID:33393904,A0A0C4DG40;A0A0C4DH48;A0A5F9ZH86;A0A5F9ZHB2;A0A5F9ZHD7;A0A5F9ZHE1;A0A5F9ZHI3;A0A5F9ZHR3;A0A5F9ZI52;B7Z9Y6;F5GXQ8;F5GYQ7;F5GZ83;F5H422;F5H4Q0;F5H6R8;F8WAI0;H0Y325;H0Y326;H0YGD3;I6XKI8;Q5JV20;Q8NF91,ComplexPortal;GO_Central;HPA;UniProt,28
SYNE2,GO:0005635;GO:0031965;GO:0034993,meiotic nuclear membrane microtubule tethering complex;nuclear envelope;nuclear membrane,IBA;IDA;IPI,ECO:0000314;ECO:0000318;ECO:0000353,GO_REF:0000033;PMID:15671068;PMID:18396275;PMID:22632968,Q8WXH0,ComplexPortal;GO_Central;UniProt,4
SYNE3,GO:0005635;GO:0005640;GO:0031965;GO:0034993,meiotic nuclear membrane microtubule tethering complex;nuclear envelope;nuclear membrane;nuclear outer membrane,IBA;IDA;IPI;ISS,ECO:0000314;ECO:0000318;ECO:0000353;ECO:0005546,GO_REF:0000033;GO_REF:0000052;GO_REF:0000114;PMID:18396275;PMID:21937718;PMID:22518138;PMID:33058875,G3V533;Q6ZMZ3,ComplexPortal;GO_Central;HPA;UniProt,9
SYNE4,GO:0005640;GO:0034993,meiotic nuclear membrane microtubule tethering complex;nuclear outer membrane,IBA;IPI;ISS,ECO:0000250;ECO:0000318;ECO:0000353,GO_REF:0000024;GO_REF:0000033;PMID:33058875,Q8N205,ComplexPortal;GO_Central;UniProt,3
