GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	H3BNT8	ADAT1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BNU4	ANKRD11	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BNU8	KNOP1	located_in	GO:0005730	nucleolus	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BNV7	CIAO2B	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BNX1	CPEB1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BNX4	IRF8	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BNZ2	TCF4	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BNZ3	SIN3A	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BP01	ZC3H18	located_in	GO:0016607	nuclear speck	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BP09	SMAD3	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BP18	ADAT1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BP27	ADAT1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BP42	PYCARD	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BP42	PYCARD	located_in	GO:0005730	nucleolus	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BP59	TCF4	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BP64	PSME3IP1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BP71	RNF40	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BP78	FANCI	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BP82	RNPS1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BP90	SIN3A	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPA3	CFAP20	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPB0	SCAPER	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPB0	SCAPER	located_in	GO:0016607	nuclear speck	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPD0	ZC3H18	located_in	GO:0016607	nuclear speck	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPD6	CPEB1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPD7	UTP4	located_in	GO:0001650	fibrillar center	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPE7	FUS	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPF9	PSME3IP1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPG3	TCF4	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPG5	RNPS1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPG7	CIAPIN1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPH3	MYG1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPH9	PSME3IP1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPJ7	TCF4	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPL4	KNOP1	located_in	GO:0005730	nucleolus	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPM0	SCAPER	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPM0	SCAPER	located_in	GO:0016607	nuclear speck	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPM9	HDGFL3	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPN2	DCTPP1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPN5	PPP4C	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPN8	NR4A1	located_in	GO:0001650	fibrillar center	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	H3BPN8	NR4A1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
